               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.021168,            0.017816,           0.0041143,             0.72175,             0.85919,             0.79724,             0.59667,            0.019267,            0.011757,           0.0039965,             0.00307,             0.00307,             0.00307
                  72,            0.020776,            0.017654,           0.0039571,             0.75904,             0.85995,             0.82009,             0.62228,            0.019287,            0.011911,           0.0037409,            0.002971,            0.002971,            0.002971
                  73,            0.020569,            0.017163,           0.0036757,             0.75409,             0.83524,             0.81041,             0.61415,            0.018912,            0.011911,            0.003676,            0.002872,            0.002872,            0.002872
                  74,            0.020631,            0.017317,           0.0040988,             0.73953,             0.82355,             0.80586,             0.61234,            0.019028,             0.01181,            0.003663,            0.002773,            0.002773,            0.002773
                  75,            0.020502,            0.017182,           0.0035973,             0.71227,             0.85891,             0.84206,             0.64974,            0.019264,            0.011815,           0.0035677,            0.002674,            0.002674,            0.002674
                  76,            0.020301,            0.017169,           0.0036684,              0.7869,             0.85891,             0.83608,             0.64166,            0.018903,            0.011912,           0.0040111,            0.002575,            0.002575,            0.002575
                  77,            0.020364,            0.017092,           0.0039592,             0.79076,             0.89168,             0.83769,             0.63999,            0.019208,            0.011831,           0.0036279,            0.002476,            0.002476,            0.002476
                  78,            0.020288,             0.01695,           0.0037912,             0.79993,             0.84863,             0.82422,             0.62544,            0.019135,            0.011802,            0.003341,            0.002377,            0.002377,            0.002377
                  79,            0.019998,            0.016724,           0.0037468,             0.78408,             0.84833,              0.8196,             0.63205,            0.019373,            0.011795,           0.0034215,            0.002278,            0.002278,            0.002278
                  80,            0.019975,            0.016808,           0.0035791,             0.78902,             0.84814,              0.8655,             0.64807,            0.019425,            0.011943,           0.0032349,            0.002179,            0.002179,            0.002179
                  81,            0.019984,            0.016983,           0.0037369,             0.78991,             0.86166,             0.82674,             0.63229,            0.019429,            0.011968,           0.0033249,             0.00208,             0.00208,             0.00208
                  82,            0.019717,            0.017007,           0.0035514,             0.76503,             0.84243,             0.82181,             0.63151,            0.019119,            0.011964,           0.0034073,            0.001981,            0.001981,            0.001981
                  83,            0.019385,            0.016672,           0.0036535,             0.76228,             0.88002,             0.81102,             0.62508,            0.019163,            0.011962,           0.0040126,            0.001882,            0.001882,            0.001882
                  84,             0.01895,            0.016342,           0.0033454,             0.83639,             0.87724,             0.84548,             0.64838,            0.019153,            0.012019,            0.003808,            0.001783,            0.001783,            0.001783
                  85,            0.019133,            0.016808,           0.0035426,             0.81401,             0.84033,             0.83636,             0.64183,            0.019059,            0.012041,            0.003994,            0.001684,            0.001684,            0.001684
                  86,            0.018867,            0.016219,           0.0032163,             0.76906,             0.89641,             0.82554,             0.62865,            0.019294,            0.012024,            0.004363,            0.001585,            0.001585,            0.001585
                  87,            0.018746,            0.016499,           0.0031659,             0.81977,             0.85266,             0.84215,             0.64207,            0.019395,            0.012039,           0.0042706,            0.001486,            0.001486,            0.001486
                  88,            0.018777,            0.016124,           0.0031751,             0.85046,             0.83606,             0.83787,             0.63813,            0.019391,            0.012202,           0.0038766,            0.001387,            0.001387,            0.001387
                  89,            0.018524,            0.016309,           0.0032982,             0.86196,             0.80685,             0.84001,             0.64483,            0.019332,            0.012062,           0.0039336,            0.001288,            0.001288,            0.001288
                  90,            0.018758,            0.016348,            0.003296,             0.84343,              0.8456,             0.85486,             0.65897,            0.019279,             0.01212,           0.0041882,            0.001189,            0.001189,            0.001189
                  91,            0.018668,            0.015901,           0.0035021,             0.84564,             0.82926,             0.84426,             0.65253,            0.018959,            0.012111,           0.0042178,             0.00109,             0.00109,             0.00109
                  92,            0.018504,            0.015951,           0.0035046,             0.81611,             0.82783,             0.81709,             0.63335,            0.019112,            0.012145,           0.0042811,            0.000991,            0.000991,            0.000991
                  93,            0.018409,             0.01601,           0.0033337,             0.80735,             0.86084,             0.83134,             0.64483,            0.019096,            0.012244,           0.0040784,            0.000892,            0.000892,            0.000892
                  94,            0.018346,            0.016046,           0.0033593,             0.85015,             0.84657,             0.84302,             0.65549,            0.019174,             0.01227,            0.004057,            0.000793,            0.000793,            0.000793
                  95,            0.018072,            0.015915,           0.0031892,             0.85623,             0.84459,              0.8479,              0.6574,            0.019176,            0.012243,           0.0040638,            0.000694,            0.000694,            0.000694
                  96,            0.018021,            0.015648,           0.0032163,             0.87719,             0.82868,             0.84922,             0.65198,            0.019248,            0.012306,           0.0040929,            0.000595,            0.000595,            0.000595
                  97,            0.017938,            0.015635,            0.002943,             0.84592,             0.82252,             0.84076,             0.64577,            0.019256,            0.012296,           0.0041041,            0.000496,            0.000496,            0.000496
                  98,            0.017845,             0.01557,           0.0031598,             0.84862,             0.82226,             0.84243,             0.64797,            0.019209,            0.012285,            0.004033,            0.000397,            0.000397,            0.000397
                  99,            0.018081,            0.015698,           0.0030594,             0.85233,             0.82759,             0.83147,             0.64161,            0.019228,            0.012327,           0.0040531,            0.000298,            0.000298,            0.000298
